entry_time,exit_time,direction,entry_price,exit_price,quantity,lots,initial_stop,final_stop,gross_pnl,costs,net_pnl,return_pct,r_multiple,exit_reason,bars_held,mae,mfe,side,cum_pnl,equity_after
2011-11-25 00:00:00+05:30,2011-12-01 00:00:00+05:30,-1,4730.353544726562,4887.96913353683,75,1.0,4886.991735189792,4886.991735189792,-11821.169160770069,141.06461136478515,-11962.233772134854,-0.011962233772134854,-1.0182475284185082,stop,4,-281.5463576171878,37.25344707031218,SHORT,-11962.233772134854,988037.7662278651
2011-12-20 00:00:00+05:30,2012-01-10 00:00:00+05:30,-1,4634.872644726563,4802.950780760137,75,1.0,4801.9903826836,4801.9903826836,-12605.860202518055,139.21254277078563,-12745.07274528884,-0.012899378121898147,-1.0168537783476026,stop,13,-221.0272576171874,103.72274238281261,SHORT,-24707.306517423694,975292.6934825763
2012-01-27 00:00:00+05:30,2012-01-30 00:00:00+05:30,1,5217.79335,5100.062806035789,75,1.0,5101.083022640318,5101.083022640318,-8829.790797315785,148.2379160530446,-8978.02871336883,-0.00920547110971382,-1.0256765808107693,stop,1,-141.09315468749992,0.0,LONG,-33685.33523079252,966314.6647692075
2012-02-02 00:00:00+05:30,2012-02-27 00:00:00+05:30,1,5273.154517675781,5272.099886772246,75,1.0,5147.6075911720445,5273.154517675781,-79.09731776514946,151.26979684882116,-230.3671146139706,-0.00023839761830479,-0.024465445819534762,stop,16,-47.40451767578088,356.7956776367191,LONG,-33915.70234540649,966084.2976545935
2012-05-10 00:00:00+05:30,2012-05-28 00:00:00+05:30,-1,4983.153072363281,4984.149702977754,75,1.0,5108.695843309382,4983.153072363281,-74.74729608543385,145.56606584971942,-220.31336193515327,-0.0002280477619499851,-0.02339849176763723,stop,11,-56.14673232421865,194.20287705078135,SHORT,-34136.01570734164,965863.9842926584
2012-07-02 00:00:00+05:30,2012-07-18 00:00:00+05:30,1,5284.9068676757815,5168.2147656952575,75,1.0,5169.248615418341,5169.248615418341,-8751.907648539305,149.5799349282686,-8901.487583467573,-0.009216088112019724,-1.0261827305562221,stop,12,-115.85706298828154,63.64293701171846,LONG,-43037.50329080921,956962.4967091908
2012-09-17 00:00:00+05:30,2012-09-20 00:00:00+05:30,1,5632.87635,5537.655150646556,75,1.0,5538.762903227201,5538.762903227201,-7141.589951508286,156.80537607657047,-7298.395327584856,-0.007626626281262462,-1.0339854828189865,stop,2,-97.97644765624955,19.323845312500453,LONG,-50335.898618394065,949664.101381606
2012-09-24 00:00:00+05:30,2012-10-05 00:00:00+05:30,1,5693.088585351562,5691.949967634492,75,1.0,5589.332231639929,5693.088585351562,-85.3963287802344,159.55752158103328,-244.95385036126768,-0.00025793735911981924,-0.03147808516119868,stop,8,-804.888390039062,122.26151230468804,LONG,-50580.852468755336,949419.1475312447
2012-11-30 00:00:00+05:30,2012-12-18 00:00:00+05:30,1,5837.1672,5835.99976656,75,1.0,5736.45032628894,5837.1672,-87.55750799996349,162.40102485909225,-249.95853285905574,-0.00026327521780977124,-0.0330905866645737,stop,12,-14.017297656249866,127.98270234375013,LONG,-50830.81100161439,949169.1889983856
2013-01-04 00:00:00+05:30,2013-01-24 00:00:00+05:30,1,6013.152585351562,6011.949954834492,75,1.0,5927.632061245231,6013.152585351562,-90.19728878026854,165.87423301950304,-256.0715217997716,-0.00026978490744099275,-0.03992359720673787,stop,14,-72.55248769531227,88.14721933593773,LONG,-51086.88252341416,948913.1174765858
2013-02-27 00:00:00+05:30,2013-03-05 00:00:00+05:30,-1,5783.742922363282,5784.899670947754,75,1.0,5867.856515954424,5783.742922363282,-86.75614383544143,161.36948845386775,-248.12563228930918,-0.0002614840365460873,-0.03933183237823093,stop,4,-66.15697998046835,120.14282470703165,SHORT,-51335.00815570347,948664.9918442966
